시군명,발생년도,발생일자,주야구분명,사고요일,사고유형_대분류,사고유형,법규위반내용,도로형태_대분류,도로형태,당사자1_대분류,당사자1_차종,당사자2_대분류,당사자2_차종,사망자수,중상자수,부상자수,부상신고자수,경상자수
평택시,2012,2012-11-20 21시,야간,화요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,특수차,대형,1,0,1,0,0
고양시,2012,2012-11-20 19시,야간,화요일,차대사람,기타,안전운전 의무 불이행,교차로,교차로부근,승용차,소형,보행자,보행자,1,0,1,0,0
평택시,2012,2012-11-20 18시,야간,화요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0
용인시,2012,2012-11-20 07시,주간,화요일,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,경형,화물차,대형,1,0,1,0,0
화성시,2012,2012-11-20 06시,주간,화요일,차대차,측면충돌,중앙선 침범,기타/불명,기타/불명,화물차,경형,건설기계,건설기계,1,0,2,0,1
남양주시,2012,2012-11-20 06시,주간,화요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,보행자,보행자,1,0,1,0,0
파주시,2012,2012-11-19 13시,주간,월요일,차대사람,횡단중,신호위반,단일로,횡단보도상,건설기계,건설기계,보행자,보행자,1,0,2,0,1
평택시,2012,2012-11-19 06시,주간,월요일,차대차,진행중 추돌,안전거리 미확보,단일로,기타단일로,승용차,소형,건설기계,건설기계,1,0,1,0,0
의정부시,2012,2012-11-18 23시,야간,일요일,차대차,정면충돌,중앙선 침범,단일로,기타단일로,승용차,소형,승용차,소형,1,2,3,0,0
안성시,2012,2012-11-18 14시,주간,일요일,차대차,측면충돌,안전운전 의무 불이행,단일로,기타단일로,화물차,소형,이륜차,소형,1,0,1,0,0
가평군,2012,2012-11-18 05시,야간,일요일,차대사람,횡단중,안전운전 의무 불이행,단일로,횡단보도상,승용차,경형,보행자,보행자,1,0,1,0,0
화성시,2012,2012-11-17 15시,주간,토요일,차대차,측면충돌,안전거리 미확보,단일로,기타단일로,승용차,중형,승합차,대형,1,2,9,0,6
수원시,2012,2012-11-17 14시,주간,토요일,차대차,진행중 추돌,안전운전 의무 불이행,단일로,지하차도(도로)내,화물차,소형,화물차,대형,1,0,1,0,0
오산시,2012,2012-11-17 05시,야간,토요일,차량단독,기타,안전운전 의무 불이행,단일로,기타단일로,화물차,중형,없음,없음,1,0,1,0,0
안산시,2012,2012-11-16 22시,야간,금요일,차량단독,전도전복,과속,단일로,기타단일로,승합차,대형,없음,없음,1,15,26,0,10
동두천시,2012,2012-11-16 20시,야간,금요일,차대사람,횡단중,안전운전 의무 불이행,교차로,교차로내,화물차,경형,보행자,보행자,1,0,1,0,0
의왕시,2012,2012-11-16 06시,주간,금요일,차대차,정면충돌,중앙선 침범,교차로,교차로부근,승용차,중형,화물차,소형,1,2,6,0,3
용인시,2012,2012-11-15 10시,주간,목요일,차대차,측면충돌,안전운전 의무 불이행,교차로,교차로부근,화물차,소형,자전거,자전거,1,0,1,0,0
성남시,2012,2012-11-15 04시,야간,목요일,차대차,측면충돌,신호위반,교차로,교차로내,승용차,소형,화물차,중형,1,0,2,0,1
이천시,2012,2012-11-15 00시,야간,목요일,차량단독,공작물충돌,안전운전 의무 불이행,단일로,기타단일로,승용차,소형,없음,없음,1,0,1,0,0
파주시,2012,2012-11-14 16시,주간,수요일,차량단독,전도전복,안전운전 의무 불이행,단일로,기타단일로,불명,불명,없음,없음,1,0,1,0,0
의왕시,2012,2012-11-14 16시,주간,수요일,차대차,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,승합차,소형,1,8,9,0,0
양주시,2012,2012-11-14 11시,주간,수요일,차량단독,전도전복,안전운전 의무 불이행,단일로,기타단일로,화물차,대형,없음,없음,1,0,1,0,0
부천시,2012,2012-11-13 21시,야간,화요일,차대차,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,승용차,중형,1,0,1,0,0
안성시,2012,2012-11-13 15시,주간,화요일,차대차,정면충돌,중앙선 침범,단일로,기타단일로,화물차,대형,화물차,대형,1,1,2,0,0
포천시,2012,2012-11-12 21시,야간,월요일,차대사람,보도통행중,안전운전 의무 불이행,교차로,교차로부근,승용차,중형,보행자,보행자,1,0,1,0,0
파주시,2012,2012-11-12 13시,주간,월요일,차대차,정면충돌,신호위반,교차로,교차로내,승합차,대형,이륜차,소형,1,3,5,0,1
용인시,2012,2012-11-11 19시,야간,일요일,차량단독,전도전복,안전운전 의무 불이행,단일로,교량위,농기계,농기계,없음,없음,1,0,1,0,0
시흥시,2012,2012-11-11 09시,주간,일요일,차대차,측면충돌,안전거리 미확보,단일로,기타단일로,승합차,중형,승용차,중형,2,0,8,0,6
의정부시,2012,2012-11-11 07시,주간,일요일,차대사람,기타,안전운전 의무 불이행,단일로,기타단일로,승용차,중형,보행자,보행자,1,0,1,0,0
안산시,2012,2012-11-10 22시,야간,토요일,차대차,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,소형,화물차,대형,1,0,1,0,0
용인시,2012,2012-11-10 18시,야간,토요일,차대사람,횡단중,과속,교차로,교차로내,승용차,중형,보행자,보행자,1,0,1,0,0
안산시,2012,2012-11-10 04시,야간,토요일,차대차,주정차중 추돌,안전운전 의무 불이행,단일로,기타단일로,이륜차,중형,화물차,대형,2,0,2,0,0
이천시,2012,2012-11-10 01시,야간,토요일,차대사람,횡단중,안전운전 의무 불이행,단일로,기타단일로,승용차,대형,보행자,보행자,1,0,1,0,0
